Gene	modularity_class	N-cluster	gephi_modularity_class
IQSEC1	2	N2	11
IRAK4	2	N2	11
ITGAL	2	N2	11
ITGAM	2	N2	11
ITGAX	2	N2	11
ITGB1	2	N2	11
ITGB2	2	N2	11
ITPRIP	2	N2	11
IVNS1ABP	2	N2	11
KLF3	2	N2	11
LAIR1	2	N2	11
LBR	2	N2	11
LDB1	2	N2	11
LPCAT3	2	N2	11
LRRC25	2	N2	11
LRRFIP1	2	N2	11
LRRK2	2	N2	11
LTA4H	2	N2	11
LY86	2	N2	11
LYST	2	N2	11
MAN2A2	2	N2	11
MAP3K8	2	N2	11
MARCKS	2	N2	11
MLX	2	N2	11
MLXIP	2	N2	11
MPP1	2	N2	11
MS4A1	2	N2	11
MVB12A	2	N2	11
MYO1G	2	N2	11
NIPSNAP3B	2	N2	11
NT5E	2	N2	11
NUCB2	2	N2	11
NUDT4	2	N2	11
OAS2	2	N2	11
ORAI2	2	N2	11
OSBPL3	2	N2	11
PDE4DIP	2	N2	11
PDLIM7	2	N2	11
PDXK	2	N2	11
PECR	2	N2	11
PIEZO1	2	N2	11
PIK3C2B	2	N2	11
PLXNC1	2	N2	11
POF1B	2	N2	11
PQLC1	2	N2	11
PRDX2	2	N2	11
PRICKLE1	2	N2	11
PTK2	2	N2	11
PTPN6	2	N2	11
PTPRO	2	N2	11
PXK	2	N2	11
PYCARD	2	N2	11
PYGM	2	N2	11
RAC2	2	N2	11
RALB	2	N2	11
RAP1B	2	N2	11
RAP1GAP2	2	N2	11
RASA3	2	N2	11
RASGRP2	2	N2	11
RFK	2	N2	11
RGS19	2	N2	11
RHBDF2	2	N2	11
RHOF	2	N2	11
RNF135	2	N2	11
S1PR4	2	N2	11
SAMHD1	2	N2	11
SCPEP1	2	N2	11
SH2B2	2	N2	11
SH3BP2	2	N2	11
SHMT2	2	N2	11
SIT1	2	N2	11
SLC15A4	2	N2	11
SLC2A6	2	N2	11
SLC44A1	2	N2	11
SMAD3	2	N2	11
SNTB1	2	N2	11
SP1	2	N2	11
SPAG1	2	N2	11
ST14	2	N2	11
STK17B	2	N2	11
SYNJ2	2	N2	11
TES	2	N2	11
TIGAR	2	N2	11
TKT	2	N2	11
TKTL2	2	N2	11
TMC6	2	N2	11
TMC8	2	N2	11
TMEM2	2	N2	11
TNFRSF13C	2	N2	11
TNIP2	2	N2	11
TNS3	2	N2	11
TRIO	2	N2	11
TSG101	2	N2	11
TSPAN14	2	N2	11
TSPAN3	2	N2	11
TTC39C	2	N2	11
TUBB6	2	N2	11
TWF1	2	N2	11
UBA7	2	N2	11
UTRN	2	N2	11
VASP	2	N2	11
VAV1	2	N2	11
VAV2	2	N2	11
VAV3	2	N2	11
VCL	2	N2	11
VPS37B	2	N2	11
VSIR	2	N2	11
ZC3H12D	2	N2	11
ZFP36L2	2	N2	11
ZNF532	2	N2	11
ZNF652	2	N2	11
